"Echantillon";"AUC";"Espece";"Model";"Type";"blocs"
1;0,546903298192482;"F. albida";"Non";"mahal";"Avec blocs"
2;0,610122621442642;"F. albida";"Non";"mahal";"Avec blocs"
3;0,620065718852127;"F. albida";"Non";"mahal";"Avec blocs"
4;0,602328522462668;"F. albida";"Non";"mahal";"Avec blocs"
5;0,633338002450783;"F. albida";"Non";"mahal";"Avec blocs"
1;0,648101269295235;"F. albida";"Oui";"mahal";"Avec blocs"
2;0,677050981809799;"F. albida";"Oui";"mahal";"Avec blocs"
3;0,64883888743112;"F. albida";"Oui";"mahal";"Avec blocs"
4;0,641360336209053;"F. albida";"Oui";"mahal";"Avec blocs"
5;0,683521609616098;"F. albida";"Oui";"mahal";"Avec blocs"
1;0,592035142103119;"B. aegyptiaca";"Non";"mahal";"Avec blocs"
2;0,616504716003317;"B. aegyptiaca";"Non";"mahal";"Avec blocs"
3;0,456133438402942;"B. aegyptiaca";"Non";"mahal";"Avec blocs"
4;0,650235150348097;"B. aegyptiaca";"Non";"mahal";"Avec blocs"
5;0,567372829501108;"B. aegyptiaca";"Non";"mahal";"Avec blocs"
1;0,667654641628997;"B. aegyptiaca";"Oui";"mahal";"Avec blocs"
2;0,668155317164179;"B. aegyptiaca";"Oui";"mahal";"Avec blocs"
3;0,508904649330181;"B. aegyptiaca";"Oui";"mahal";"Avec blocs"
4;0,791006887868464;"B. aegyptiaca";"Oui";"mahal";"Avec blocs"
5;0,638029905406814;"B. aegyptiaca";"Oui";"mahal";"Avec blocs"
1;0,698403073057596;"A. leiocarpus";"Non";"mahal";"Avec blocs"
2;0,62579318660356;"A. leiocarpus";"Non";"mahal";"Avec blocs"
3;0,663230665770007;"A. leiocarpus";"Non";"mahal";"Avec blocs"
4;0,587516366299703;"A. leiocarpus";"Non";"mahal";"Avec blocs"
5;0,664016326530612;"A. leiocarpus";"Non";"mahal";"Avec blocs"
1;0,54811799381523;"A. leiocarpus";"Oui";"mahal";"Avec blocs"
2;0,589911578214888;"A. leiocarpus";"Oui";"mahal";"Avec blocs"
3;0,55413584398117;"A. leiocarpus";"Oui";"mahal";"Avec blocs"
4;0,570257873498047;"A. leiocarpus";"Oui";"mahal";"Avec blocs"
5;0,596829387755102;"A. leiocarpus";"Oui";"mahal";"Avec blocs"
1;0,736887690228702;"A. digitata";"Non";"mahal";"Avec blocs"
2;0,709922316384181;"A. digitata";"Non";"mahal";"Avec blocs"
3;0,74021472635242;"A. digitata";"Non";"mahal";"Avec blocs"
4;0,659905071039761;"A. digitata";"Non";"mahal";"Avec blocs"
5;0,591915559603446;"A. digitata";"Non";"mahal";"Avec blocs"
1;0,643251549483695;"A. digitata";"Oui";"mahal";"Avec blocs"
2;0,629224278917633;"A. digitata";"Oui";"mahal";"Avec blocs"
3;0,711609261309712;"A. digitata";"Oui";"mahal";"Avec blocs"
4;0,709987631610339;"A. digitata";"Oui";"mahal";"Avec blocs"
5;0,732792625859741;"A. digitata";"Oui";"mahal";"Avec blocs"
1;0,550728806621794;"A. nilotica";"Non";"mahal";"Avec blocs"
2;0,572264468756644;"A. nilotica";"Non";"mahal";"Avec blocs"
3;0,631806745437753;"A. nilotica";"Non";"mahal";"Avec blocs"
4;0,593775100401606;"A. nilotica";"Non";"mahal";"Avec blocs"
5;0,491160220994475;"A. nilotica";"Non";"mahal";"Avec blocs"
1;0,583252228488266;"A. nilotica";"Oui";"mahal";"Avec blocs"
2;0,601332810021423;"A. nilotica";"Oui";"mahal";"Avec blocs"
3;0,594964807796427;"A. nilotica";"Oui";"mahal";"Avec blocs"
4;0,525256581883088;"A. nilotica";"Oui";"mahal";"Avec blocs"
5;0,571209330877839;"A. nilotica";"Oui";"mahal";"Avec blocs"
1;0,537366775123087;"F. albida";"Non";"mahal";"Sans blocs"
2;0,550082870549744;"F. albida";"Non";"mahal";"Sans blocs"
3;0,554074895002815;"F. albida";"Non";"mahal";"Sans blocs"
4;0,546120772830334;"F. albida";"Non";"mahal";"Sans blocs"
5;0,545374252940042;"F. albida";"Non";"mahal";"Sans blocs"
1;0,537135390824778;"F. albida";"Oui";"mahal";"Sans blocs"
2;0,549915455297736;"F. albida";"Oui";"mahal";"Sans blocs"
3;0,553943387000554;"F. albida";"Oui";"mahal";"Sans blocs"
4;0,5452246852236;"F. albida";"Oui";"mahal";"Sans blocs"
5;0,545242914979757;"F. albida";"Oui";"mahal";"Sans blocs"
1;0,686642359222035;"B. aegyptiaca";"Non";"mahal";"Sans blocs"
2;0,692417637494245;"B. aegyptiaca";"Non";"mahal";"Sans blocs"
3;0,686372375036971;"B. aegyptiaca";"Non";"mahal";"Sans blocs"
4;0,69362070751839;"B. aegyptiaca";"Non";"mahal";"Sans blocs"
5;0,667133091312372;"B. aegyptiaca";"Non";"mahal";"Sans blocs"
1;0,681612245352474;"B. aegyptiaca";"Oui";"mahal";"Sans blocs"
2;0,68950661172919;"B. aegyptiaca";"Oui";"mahal";"Sans blocs"
3;0,683491693778961;"B. aegyptiaca";"Oui";"mahal";"Sans blocs"
4;0,690633382066838;"B. aegyptiaca";"Oui";"mahal";"Sans blocs"
5;0,665853672624772;"B. aegyptiaca";"Oui";"mahal";"Sans blocs"
1;0,700627754074281;"A. leiocarpus";"Non";"mahal";"Sans blocs"
2;0,674299600827913;"A. leiocarpus";"Non";"mahal";"Sans blocs"
3;0,680691753514723;"A. leiocarpus";"Non";"mahal";"Sans blocs"
4;0,673880568792073;"A. leiocarpus";"Non";"mahal";"Sans blocs"
5;0,688409205635354;"A. leiocarpus";"Non";"mahal";"Sans blocs"
1;0,700326991676576;"A. leiocarpus";"Oui";"mahal";"Sans blocs"
2;0,674761605558841;"A. leiocarpus";"Oui";"mahal";"Sans blocs"
3;0,68197873679793;"A. leiocarpus";"Oui";"mahal";"Sans blocs"
4;0,675340367597005;"A. leiocarpus";"Oui";"mahal";"Sans blocs"
5;0,690699906689306;"A. leiocarpus";"Oui";"mahal";"Sans blocs"
1;0,797100350611201;"A. digitata";"Non";"mahal";"Sans blocs"
2;0,784182224472722;"A. digitata";"Non";"mahal";"Sans blocs"
3;0,798130410709388;"A. digitata";"Non";"mahal";"Sans blocs"
4;0,790935053447757;"A. digitata";"Non";"mahal";"Sans blocs"
5;0,756703323545726;"A. digitata";"Non";"mahal";"Sans blocs"
1;0,798190088126599;"A. digitata";"Oui";"mahal";"Sans blocs"
2;0,78481517766721;"A. digitata";"Oui";"mahal";"Sans blocs"
3;0,797198979565436;"A. digitata";"Oui";"mahal";"Sans blocs"
4;0,785289163655525;"A. digitata";"Oui";"mahal";"Sans blocs"
5;0,758438630684912;"A. digitata";"Oui";"mahal";"Sans blocs"
1;0,697601717058604;"A. nilotica";"Non";"mahal";"Sans blocs"
2;0,692256008269446;"A. nilotica";"Non";"mahal";"Sans blocs"
3;0,69991214149986;"A. nilotica";"Non";"mahal";"Sans blocs"
4;0,638946522990429;"A. nilotica";"Non";"mahal";"Sans blocs"
5;0,651052779753438;"A. nilotica";"Non";"mahal";"Sans blocs"
1;0,691417252027554;"A. nilotica";"Oui";"mahal";"Sans blocs"
2;0,674752347316737;"A. nilotica";"Oui";"mahal";"Sans blocs"
3;0,721127585525823;"A. nilotica";"Oui";"mahal";"Sans blocs"
4;0,659167726390469;"A. nilotica";"Oui";"mahal";"Sans blocs"
5;0,655009038643907;"A. nilotica";"Oui";"mahal";"Sans blocs"
1;0,685849566431571;"F. albida";"Non";"MaxEnt";"Avec blocs"
2;0,700634194643531;"F. albida";"Non";"MaxEnt";"Avec blocs"
3;0,653130889053219;"F. albida";"Non";"MaxEnt";"Avec blocs"
4;0,687129952220081;"F. albida";"Non";"MaxEnt";"Avec blocs"
5;0,711532787281727;"F. albida";"Non";"MaxEnt";"Avec blocs"
1;0,690724296565743;"F. albida";"Oui";"MaxEnt";"Avec blocs"
2;0,671096074856448;"F. albida";"Oui";"MaxEnt";"Avec blocs"
3;0,579702297178025;"F. albida";"Oui";"MaxEnt";"Avec blocs"
4;0,724483773732905;"F. albida";"Oui";"MaxEnt";"Avec blocs"
5;0,689634962351462;"F. albida";"Oui";"MaxEnt";"Avec blocs"
1;0,653404343637063;"B. aegyptiaca";"Non";"MaxEnt";"Avec blocs"
2;0,73290578358209;"B. aegyptiaca";"Non";"MaxEnt";"Avec blocs"
3;0,760910822169687;"B. aegyptiaca";"Non";"MaxEnt";"Avec blocs"
4;0,881508295067397;"B. aegyptiaca";"Non";"MaxEnt";"Avec blocs"
5;0,787196606067199;"B. aegyptiaca";"Non";"MaxEnt";"Avec blocs"
1;0,675320555540746;"B. aegyptiaca";"Oui";"MaxEnt";"Avec blocs"
2;0,728293428689884;"B. aegyptiaca";"Oui";"MaxEnt";"Avec blocs"
3;0,821437483582874;"B. aegyptiaca";"Oui";"MaxEnt";"Avec blocs"
4;0,887355576951563;"B. aegyptiaca";"Oui";"MaxEnt";"Avec blocs"
5;0,748808633497863;"B. aegyptiaca";"Oui";"MaxEnt";"Avec blocs"
1;0,649127850792424;"A. leiocarpus";"Non";"MaxEnt";"Avec blocs"
2;0,674267700853624;"A. leiocarpus";"Non";"MaxEnt";"Avec blocs"
3;0,641670477471419;"A. leiocarpus";"Non";"MaxEnt";"Avec blocs"
4;0,767870868127922;"A. leiocarpus";"Non";"MaxEnt";"Avec blocs"
5;0,710462040816326;"A. leiocarpus";"Non";"MaxEnt";"Avec blocs"
1;0,727283049864708;"A. leiocarpus";"Oui";"MaxEnt";"Avec blocs"
2;0,644459841272698;"A. leiocarpus";"Oui";"MaxEnt";"Avec blocs"
3;0,514595830531271;"A. leiocarpus";"Oui";"MaxEnt";"Avec blocs"
4;0,719794244152671;"A. leiocarpus";"Oui";"MaxEnt";"Avec blocs"
5;0,628277551020408;"A. leiocarpus";"Oui";"MaxEnt";"Avec blocs"
1;0,73620916746968;"A. digitata";"Non";"MaxEnt";"Avec blocs"
2;0,677224576271186;"A. digitata";"Non";"MaxEnt";"Avec blocs"
3;0,678110170832015;"A. digitata";"Non";"MaxEnt";"Avec blocs"
4;0,73311086974265;"A. digitata";"Non";"MaxEnt";"Avec blocs"
5;0,581635312961276;"A. digitata";"Non";"MaxEnt";"Avec blocs"
1;0,798160005929947;"A. digitata";"Oui";"MaxEnt";"Avec blocs"
2;0,781658861135891;"A. digitata";"Oui";"MaxEnt";"Avec blocs"
3;0,775967850363809;"A. digitata";"Oui";"MaxEnt";"Avec blocs"
4;0,844721460097817;"A. digitata";"Oui";"MaxEnt";"Avec blocs"
5;0,611738010740869;"A. digitata";"Oui";"MaxEnt";"Avec blocs"
1;0,574713480080044;"A. nilotica";"Non";"MaxEnt";"Avec blocs"
2;0,656104760503034;"A. nilotica";"Non";"MaxEnt";"Avec blocs"
3;0,721172648810472;"A. nilotica";"Non";"MaxEnt";"Avec blocs"
4;0,690149486836234;"A. nilotica";"Non";"MaxEnt";"Avec blocs"
5;0,505954573357888;"A. nilotica";"Non";"MaxEnt";"Avec blocs"
1;0,767085455703111;"A. nilotica";"Oui";"MaxEnt";"Avec blocs"
2;0,648811100753896;"A. nilotica";"Oui";"MaxEnt";"Avec blocs"
3;0,68678301856747;"A. nilotica";"Oui";"MaxEnt";"Avec blocs"
4;0,605142793395805;"A. nilotica";"Oui";"MaxEnt";"Avec blocs"
5;0,656455903417229;"A. nilotica";"Oui";"MaxEnt";"Avec blocs"
1;0,632018458264952;"F. albida";"Non";"MaxEnt";"Sans blocs"
2;0,631053855094924;"F. albida";"Non";"MaxEnt";"Sans blocs"
3;0,631094349818459;"F. albida";"Non";"MaxEnt";"Sans blocs"
4;0,631654324858893;"F. albida";"Non";"MaxEnt";"Sans blocs"
5;0,647021399652979;"F. albida";"Non";"MaxEnt";"Sans blocs"
1;0,658532236365024;"F. albida";"Oui";"MaxEnt";"Sans blocs"
2;0,644557688904195;"F. albida";"Oui";"MaxEnt";"Sans blocs"
3;0,64246740095953;"F. albida";"Oui";"MaxEnt";"Sans blocs"
4;0,667716122340682;"F. albida";"Oui";"MaxEnt";"Sans blocs"
5;0,672503373819163;"F. albida";"Oui";"MaxEnt";"Sans blocs"
1;0,736607838832734;"B. aegyptiaca";"Non";"MaxEnt";"Sans blocs"
2;0,693192745455711;"B. aegyptiaca";"Non";"MaxEnt";"Sans blocs"
3;0,692780735482599;"B. aegyptiaca";"Non";"MaxEnt";"Sans blocs"
4;0,720831846385854;"B. aegyptiaca";"Non";"MaxEnt";"Sans blocs"
5;0,71735966105513;"B. aegyptiaca";"Non";"MaxEnt";"Sans blocs"
1;0,749451968934831;"B. aegyptiaca";"Oui";"MaxEnt";"Sans blocs"
2;0,720475962911375;"B. aegyptiaca";"Oui";"MaxEnt";"Sans blocs"
3;0,71364179729863;"B. aegyptiaca";"Oui";"MaxEnt";"Sans blocs"
4;0,736346944179032;"B. aegyptiaca";"Oui";"MaxEnt";"Sans blocs"
5;0,719104060349284;"B. aegyptiaca";"Oui";"MaxEnt";"Sans blocs"
1;0,672518710218927;"A. leiocarpus";"Non";"MaxEnt";"Sans blocs"
2;0,636873521584861;"A. leiocarpus";"Non";"MaxEnt";"Sans blocs"
3;0,671646149541862;"A. leiocarpus";"Non";"MaxEnt";"Sans blocs"
4;0,643166175024582;"A. leiocarpus";"Non";"MaxEnt";"Sans blocs"
5;0,664741177550365;"A. leiocarpus";"Non";"MaxEnt";"Sans blocs"
1;0,68609498496188;"A. leiocarpus";"Oui";"MaxEnt";"Sans blocs"
2;0,664309210526316;"A. leiocarpus";"Oui";"MaxEnt";"Sans blocs"
3;0,708395117856893;"A. leiocarpus";"Oui";"MaxEnt";"Sans blocs"
4;0,709027305045004;"A. leiocarpus";"Oui";"MaxEnt";"Sans blocs"
5;0,689296422070274;"A. leiocarpus";"Oui";"MaxEnt";"Sans blocs"
1;0,615531128589027;"A. digitata";"Non";"MaxEnt";"Sans blocs"
2;0,649542072123641;"A. digitata";"Non";"MaxEnt";"Sans blocs"
3;0,646845294461607;"A. digitata";"Non";"MaxEnt";"Sans blocs"
4;0,608227002408913;"A. digitata";"Non";"MaxEnt";"Sans blocs"
5;0,650330522576804;"A. digitata";"Non";"MaxEnt";"Sans blocs"
1;0,708438358760542;"A. digitata";"Oui";"MaxEnt";"Sans blocs"
2;0,759147549645546;"A. digitata";"Oui";"MaxEnt";"Sans blocs"
3;0,735351951606977;"A. digitata";"Oui";"MaxEnt";"Sans blocs"
4;0,719192261367058;"A. digitata";"Oui";"MaxEnt";"Sans blocs"
5;0,750225182817915;"A. digitata";"Oui";"MaxEnt";"Sans blocs"
1;0,644181173436493;"A. nilotica";"Non";"MaxEnt";"Sans blocs"
2;0,632901197346886;"A. nilotica";"Non";"MaxEnt";"Sans blocs"
3;0,686770825529365;"A. nilotica";"Non";"MaxEnt";"Sans blocs"
4;0,641883073422127;"A. nilotica";"Non";"MaxEnt";"Sans blocs"
5;0,66153612494073;"A. nilotica";"Non";"MaxEnt";"Sans blocs"
1;0,694471308833011;"A. nilotica";"Oui";"MaxEnt";"Sans blocs"
2;0,687677663881471;"A. nilotica";"Oui";"MaxEnt";"Sans blocs"
3;0,740214674412744;"A. nilotica";"Oui";"MaxEnt";"Sans blocs"
4;0,734104142962318;"A. nilotica";"Oui";"MaxEnt";"Sans blocs"
5;0,661617620910384;"A. nilotica";"Oui";"MaxEnt";"Sans blocs"
1;0,599950061097201;"F. albida";"Non";"RF";"Avec blocs"
2;0,612749945324921;"F. albida";"Non";"RF";"Avec blocs"
3;0,611064750646242;"F. albida";"Non";"RF";"Avec blocs"
4;0,594435897816085;"F. albida";"Non";"RF";"Avec blocs"
5;0,596751861892494;"F. albida";"Non";"RF";"Avec blocs"
1;0,600502147420792;"F. albida";"Oui";"RF";"Avec blocs"
2;0,612568992636146;"F. albida";"Oui";"RF";"Avec blocs"
3;0,610632489346668;"F. albida";"Oui";"RF";"Avec blocs"
4;0,597797441099768;"F. albida";"Oui";"RF";"Avec blocs"
5;0,593017998230717;"F. albida";"Oui";"RF";"Avec blocs"
1;0,611094516733187;"B. aegyptiaca";"Non";"RF";"Avec blocs"
2;0,601723944627499;"B. aegyptiaca";"Non";"RF";"Avec blocs"
3;0,615155406662944;"B. aegyptiaca";"Non";"RF";"Avec blocs"
4;0,611337530186071;"B. aegyptiaca";"Non";"RF";"Avec blocs"
5;0,588067930819219;"B. aegyptiaca";"Non";"RF";"Avec blocs"
1;0,612004337372226;"B. aegyptiaca";"Oui";"RF";"Avec blocs"
2;0,603549529168175;"B. aegyptiaca";"Oui";"RF";"Avec blocs"
3;0,611118954561166;"B. aegyptiaca";"Oui";"RF";"Avec blocs"
4;0,609945260080546;"B. aegyptiaca";"Oui";"RF";"Avec blocs"
5;0,5883813921197;"B. aegyptiaca";"Oui";"RF";"Avec blocs"
1;0,587298970489887;"A. leiocarpus";"Non";"RF";"Avec blocs"
2;0,588011914716679;"A. leiocarpus";"Non";"RF";"Avec blocs"
3;0,603141199445583;"A. leiocarpus";"Non";"RF";"Avec blocs"
4;0,595688551182447;"A. leiocarpus";"Non";"RF";"Avec blocs"
5;0,614295104675632;"A. leiocarpus";"Non";"RF";"Avec blocs"
1;0,580596554329435;"A. leiocarpus";"Oui";"RF";"Avec blocs"
2;0,590751463926194;"A. leiocarpus";"Oui";"RF";"Avec blocs"
3;0,601789825752842;"A. leiocarpus";"Oui";"RF";"Avec blocs"
4;0,596276383916172;"A. leiocarpus";"Oui";"RF";"Avec blocs"
5;0,615756239670168;"A. leiocarpus";"Oui";"RF";"Avec blocs"
1;0,600377512035152;"A. digitata";"Non";"RF";"Avec blocs"
2;0,593695811808356;"A. digitata";"Non";"RF";"Avec blocs"
3;0,580626746334038;"A. digitata";"Non";"RF";"Avec blocs"
4;0,537904893250571;"A. digitata";"Non";"RF";"Avec blocs"
5;0,607772754437791;"A. digitata";"Non";"RF";"Avec blocs"
1;0,601974290006785;"A. digitata";"Oui";"RF";"Avec blocs"
2;0,599259320691032;"A. digitata";"Oui";"RF";"Avec blocs"
3;0,583262884461468;"A. digitata";"Oui";"RF";"Avec blocs"
4;0,54521460727806;"A. digitata";"Oui";"RF";"Avec blocs"
5;0,610664812937585;"A. digitata";"Oui";"RF";"Avec blocs"
1;0,579857579833656;"A. nilotica";"Non";"RF";"Avec blocs"
2;0,62203957611615;"A. nilotica";"Non";"RF";"Avec blocs"
3;0,608165261975793;"A. nilotica";"Non";"RF";"Avec blocs"
4;0,601935895956848;"A. nilotica";"Non";"RF";"Avec blocs"
5;0,617796509018998;"A. nilotica";"Non";"RF";"Avec blocs"
1;0,576380619291469;"A. nilotica";"Oui";"RF";"Avec blocs"
2;0,615930050545772;"A. nilotica";"Oui";"RF";"Avec blocs"
3;0,612849802057692;"A. nilotica";"Oui";"RF";"Avec blocs"
4;0,611983380879892;"A. nilotica";"Oui";"RF";"Avec blocs"
5;0,614250349593793;"A. nilotica";"Oui";"RF";"Avec blocs"
1;0,5071979;"F. albida";"Non";"RF";"Sans blocs"
2;0,5119634;"F. albida";"Non";"RF";"Sans blocs"
3;0,5017405;"F. albida";"Non";"RF";"Sans blocs"
4;0,5107362;"F. albida";"Non";"RF";"Sans blocs"
5;0,4905324;"F. albida";"Non";"RF";"Sans blocs"
1;0,5066514;"F. albida";"Oui";"RF";"Sans blocs"
2;0,5123848;"F. albida";"Oui";"RF";"Sans blocs"
3;0,5019378;"F. albida";"Oui";"RF";"Sans blocs"
4;0,5106267;"F. albida";"Oui";"RF";"Sans blocs"
5;0,4908945;"F. albida";"Oui";"RF";"Sans blocs"
1;0,5023875;"B. aegyptiaca";"Non";"RF";"Sans blocs"
2;0,5065197;"B. aegyptiaca";"Non";"RF";"Sans blocs"
3;0,5131269;"B. aegyptiaca";"Non";"RF";"Sans blocs"
4;0,5112388;"B. aegyptiaca";"Non";"RF";"Sans blocs"
5;0,5211687;"B. aegyptiaca";"Non";"RF";"Sans blocs"
1;0,5065727;"B. aegyptiaca";"Oui";"RF";"Sans blocs"
2;0,5010242;"B. aegyptiaca";"Oui";"RF";"Sans blocs"
3;0,5089203;"B. aegyptiaca";"Oui";"RF";"Sans blocs"
4;0,5112587;"B. aegyptiaca";"Oui";"RF";"Sans blocs"
5;0,5227251;"B. aegyptiaca";"Oui";"RF";"Sans blocs"
1;0,5072844;"A. leiocarpus";"Non";"RF";"Sans blocs"
2;0,5181131;"A. leiocarpus";"Non";"RF";"Sans blocs"
3;0,5208158;"A. leiocarpus";"Non";"RF";"Sans blocs"
4;0,5137791;"A. leiocarpus";"Non";"RF";"Sans blocs"
5;0,5023121;"A. leiocarpus";"Non";"RF";"Sans blocs"
1;0,5127128;"A. leiocarpus";"Oui";"RF";"Sans blocs"
2;0,5217029;"A. leiocarpus";"Oui";"RF";"Sans blocs"
3;0,5237504;"A. leiocarpus";"Oui";"RF";"Sans blocs"
4;0,5105089;"A. leiocarpus";"Oui";"RF";"Sans blocs"
5;0,5045994;"A. leiocarpus";"Oui";"RF";"Sans blocs"
1;0,4571134;"A. digitata";"Non";"RF";"Sans blocs"
2;0,494689;"A. digitata";"Non";"RF";"Sans blocs"
3;0,4969368;"A. digitata";"Non";"RF";"Sans blocs"
4;0,4975237;"A. digitata";"Non";"RF";"Sans blocs"
5;0,5058041;"A. digitata";"Non";"RF";"Sans blocs"
1;0,47247;"A. digitata";"Oui";"RF";"Sans blocs"
2;0,4976788;"A. digitata";"Oui";"RF";"Sans blocs"
3;0,4893893;"A. digitata";"Oui";"RF";"Sans blocs"
4;0,4883114;"A. digitata";"Oui";"RF";"Sans blocs"
5;0,4938606;"A. digitata";"Oui";"RF";"Sans blocs"
1;0,4649564;"A. nilotica";"Non";"RF";"Sans blocs"
2;0,4957523;"A. nilotica";"Non";"RF";"Sans blocs"
3;0,5081523;"A. nilotica";"Non";"RF";"Sans blocs"
4;0,5245776;"A. nilotica";"Non";"RF";"Sans blocs"
5;0,5278314;"A. nilotica";"Non";"RF";"Sans blocs"
1;0,476834;"A. nilotica";"Oui";"RF";"Sans blocs"
2;0,4877007;"A. nilotica";"Oui";"RF";"Sans blocs"
3;0,5038066;"A. nilotica";"Oui";"RF";"Sans blocs"
4;0,519404;"A. nilotica";"Oui";"RF";"Sans blocs"
5;0,5291796;"A. nilotica";"Oui";"RF";"Sans blocs"
1;0,592983032478228;"F. albida";"Non";"SVM";"Avec blocs"
2;0,615767514250319;"F. albida";"Non";"SVM";"Avec blocs"
3;0,605208075504084;"F. albida";"Non";"SVM";"Avec blocs"
4;0,604132173951935;"F. albida";"Non";"SVM";"Avec blocs"
5;0,599641707875134;"F. albida";"Non";"SVM";"Avec blocs"
1;0,589701504480206;"F. albida";"Oui";"SVM";"Avec blocs"
2;0,623932797898967;"F. albida";"Oui";"SVM";"Avec blocs"
3;0,61594318750963;"F. albida";"Oui";"SVM";"Avec blocs"
4;0,600665016542162;"F. albida";"Oui";"SVM";"Avec blocs"
5;0,596104948857383;"F. albida";"Oui";"SVM";"Avec blocs"
1;0,59863909722895;"B. aegyptiaca";"Non";"SVM";"Avec blocs"
2;0,623569171284505;"B. aegyptiaca";"Non";"SVM";"Avec blocs"
3;0,616183829198905;"B. aegyptiaca";"Non";"SVM";"Avec blocs"
4;0,611352222938023;"B. aegyptiaca";"Non";"SVM";"Avec blocs"
